Item Code,Division,Department,Category,Class,Group,Description,UOM,Brand,Total QOH,Total Avail.,Status,Condition,Issue Ctrl,Item GTIN
5090450468138,,,0003,0014,0290,SCA SPIN INFINITY SHOE W ORCHID-PURPLE 38,EACH,SCA,1,1,S,,U,8057963265634
5090450468139,,,0003,0014,0290,SCA SPIN INFINITY SHOE W ORCHID-PURPLE 39,EACH,SCA,1,1,S,,U,8057963265658
5090450468140,,,0003,0014,0290,SCA SPIN INFINITY SHOE W ORCHID-PURPLE 40,EACH,SCA,1,1,S,,U,8057963265672
5090450468142,,,0003,0014,0290,SCA SPIN INFINITY SHOE W ORCHID-PURPLE 42,EACH,SCA,1,1,S,,U,8057963265719
5090460468236,,,0003,0014,0290,SCA RIBELLE RUN SHOE W AQUA-BLACK 36,EACH,SCA,1,1,S,,U,8057963243458
5090460468237,,,0003,0014,0290,SCA RIBELLE RUN SHOE W AQUA-BLACK 37,EACH,SCA,2,2,S,,U,8057963243472
5090460468238,,,0003,0014,0290,SCA RIBELLE RUN SHOE W AQUA-BLACK 38,EACH,SCA,2,2,S,,U,8057963140283
5090460468239,,,0003,0014,0290,SCA RIBELLE RUN SHOE W AQUA-BLACK 39,EACH,SCA,1,1,S,,U,8057963243519
5090460468240,,,0003,0014,0290,SCA RIBELLE RUN SHOE W AQUA-BLACK 40,EACH,SCA,1,1,S,,U,8057963243533
5090460468241,,,0003,0014,0290,SCA RIBELLE RUN SHOE W AQUA-BLACK 41,EACH,SCA,1,1,S,,U,8057963243557
50904800440NS,,,0009,0040,0099,RAB LATOK SUMMIT 2P TENT Horizon NS,EACH,RAB,3,3,S,,U,821468949348
50905299999225,,,0022,0104,0261,STO CLOTHING WASH NC 225ML,EACH,STO,17,17,S,,U,5034886511027
50905399999225,,,0022,0104,0261,STO DOWN WASH NC 225ML,EACH,STO,16,16,S,,U,5034886511089
50905499999225,,,0022,0105,0264,STO ECO PROOFER WASH IN NC 225ML,EACH,STO,7,7,S,,U,5034886512123
50905599999225,,,0022,0105,0264,STO ECO PROOFER SPRAY ON NC 225ML,EACH,STO,9,9,S,,U,5034886512420
5090650450811,,,0003,0014,0037,TEV GRANDVIEW GTX SHOE BLACK/CHARCOAL 11,EACH,TEV,3,3,S,,U,195719672720
5090650450812,,,0003,0014,0037,TEV GRANDVIEW GTX SHOE BLACK/CHARCOAL 12,EACH,TEV,1,1,S,,U,195719672867
